input,abbreviate_output,remove_output,abbreviate_changed,remove_changed
"""Đường Mươi Phèo -Tư Cò""","""Đường Mươi Phèo -Tư Cò""","""Đường Mươi Phèo -Tư Cò""",false,false
',',',false,false
--,--,--,false,false
01 Nguyễn Văn Trỗi,01 Nguyễn Văn Trỗi,01 Nguyễn Văn Trỗi,false,false
01 Đồi Trà,01 Đồi Trà,01 Đồi Trà,false,false
1 Tháng 3,1 Tháng 3,1 Tháng 3,false,false
1 Tháng 4,1 Tháng 4,1 Tháng 4,false,false
1 Tháng 5,1 Tháng 5,1 Tháng 5,false,false
1 Tháng 6,1 Tháng 6,1 Tháng 6,false,false
1 tháng 5,1 Tháng 5,1 Tháng 5,true,true
1/108/3 Phạm Như Xương,1/108/3 Phạm Như Xương,1/108/3 Phạm Như Xương,false,false
1/108/3/24 Đường Phạm Như Xương,1/108/3/24 Đường Phạm Như Xương,1/108/3/24 Đường Phạm Như Xương,false,false
1/108/44 Phạm Như Xương,1/108/44 Phạm Như Xương,1/108/44 Phạm Như Xương,false,false
1/12 Bùi Thị Tự Nhiên,1/12 Bùi Thị Tự Nhiên,1/12 Bùi Thị Tự Nhiên,false,false
10,10,10,false,false
101 Trần Hưng Đạo,101 Trần Hưng Đạo,101 Trần Hưng Đạo,false,false
105 Lê Ngọc Hân,105 Lê Ngọc Hân,105 Lê Ngọc Hân,false,false
111/12 Lý Thánh Tông,111/12 Lý Thánh Tông,111/12 Lý Thánh Tông,false,false
113 Phố Nguễn Đức Cảnh,113 Phố Nguễn Đức Cảnh,113 Phố Nguễn Đức Cảnh,false,false
116 Ngô Gia Khảm,116 Ngô Gia Khảm,116 Ngô Gia Khảm,false,false
126 Ngõ 1 Phú Viên,126 Ngõ 1 Phú Viên,126 Ngõ 1 Phú Viên,false,false
129/66 Liên Khu 5-6,129/66 Liên Khu 5-6,129/66 Liên Khu 5-6,false,false
13 Tháng 10,13 Tháng 10,13 Tháng 10,false,false
13 Tháng 12,13 Tháng 12,13 Tháng 12,false,false
13 Tháng 2,13 Tháng 2,13 Tháng 2,false,false
137/77 Phan Anh,137/77 Phan Anh,137/77 Phan Anh,false,false
138/97/40 Đường Hoàng Văn Thái,138/97/40 Đường Hoàng Văn Thái,138/97/40 Đường Hoàng Văn Thái,false,false
14 Tháng 3,14 Tháng 3,14 Tháng 3,false,false
14 Tháng 9,14 Tháng 9,14 Tháng 9,false,false
14B,14B,14B,false,false
14C,14C,14C,false,false
156/35 Lê Văn Thọ,156/35 Lê Văn Thọ,156/35 Lê Văn Thọ,false,false
16 Tháng 2,16 Tháng 2,16 Tháng 2,false,false
16 tháng 4,16 Tháng 4,16 Tháng 4,true,true
162 Ngõ Hàng Kênh,162 Ngõ Hàng Kênh,162 Ngõ Hàng Kênh,false,false
16A1,16A1,16A1,false,false
16A2,16A2,16A2,false,false
16A3,16A3,16A3,false,false
16A4,16A4,16A4,false,false
16B1,16B1,16B1,false,false
16B3,16B3,16B3,false,false
16B5,16B5,16B5,false,false
16B6,16B6,16B6,false,false
17 Tháng 8,17 Tháng 8,17 Tháng 8,false,false
17/21 Nguyễn Quyền,17/21 Nguyễn Quyền,17/21 Nguyễn Quyền,false,false
170,170,170,false,false
172,172,172,false,false
177 Bình Kiều,177 Bình Kiều,177 Bình Kiều,false,false
179/7 Lê Đình Thám,179/7 Lê Đình Thám,179/7 Lê Đình Thám,false,false
17b Hẻm 486/14/10,17B Hẻm 486/14/10,17B Hẻm 486/14/10,true,true
19 Tháng 5,19 Tháng 5,19 Tháng 5,false,false
19 Tháng 5,19 Tháng 5,19 Tháng 5,false,false
19 Tháng 8,19 Tháng 8,19 Tháng 8,false,false
19/5 Đường Số 7,19/5 Đường Số 7,19/5 Đường Số 7,false,false
2,2,2,false,false
2 Tháng 4,2 Tháng 4,2 Tháng 4,false,false
2 Tháng 8,2 Tháng 8,2 Tháng 8,false,false
2 Tháng 9,2 Tháng 9,2 Tháng 9,false,false
2 Trần Hưng Đạo,2 Trần Hưng Đạo,2 Trần Hưng Đạo,false,false
20 Tháng 8,20 Tháng 8,20 Tháng 8,false,false
202/75/14 Đường Hoàng Văn Thái,202/75/14 Đường Hoàng Văn Thái,202/75/14 Đường Hoàng Văn Thái,false,false
21,21,21,false,false
21 Tháng 4,21 Tháng 4,21 Tháng 4,false,false
22 Tháng 12,22 Tháng 12,22 Tháng 12,false,false
22 tháng 12,22 Tháng 12,22 Tháng 12,true,true
22/12,22/12,22/12,false,false
220,220,220,false,false
23 Tháng 10,23 Tháng 10,23 Tháng 10,false,false
23 Tháng 4,23 Tháng 4,23 Tháng 4,false,false
23 Tháng 8,23 Tháng 8,23 Tháng 8,false,false
24 Tháng 3,24 Tháng 3,24 Tháng 3,false,false
242 Hà Huy Tập,242 Hà Huy Tập,242 Hà Huy Tập,false,false
26 Tháng 12,26 Tháng 12,26 Tháng 12,false,false
26 Tháng 3,26 Tháng 3,26 Tháng 3,false,false
27 Tháng 4,27 Tháng 4,27 Tháng 4,false,false
28 Tháng 3,28 Tháng 3,28 Tháng 3,false,false
28 Tháng 4,28 Tháng 4,28 Tháng 4,false,false
282 Đường Lĩnh Nam,282 Đường Lĩnh Nam,282 Đường Lĩnh Nam,false,false
3 Tháng 2,3 Tháng 2,3 Tháng 2,false,false
3-2,3-2,3-2,false,false
30 Tháng 4,30 Tháng 4,30 Tháng 4,false,false
30 tháng 4,30 Tháng 4,30 Tháng 4,true,true
30/4,30/4,30/4,false,false
31 - 3,31 - 3,31 - 3,false,false
